style,category,values
reliquary,subtheme,a saint-house stripped by generations of grave-thieves|a bell-foundry turned secret pilgrimage route|a plague shrine quietly reused by rival sects|a reliquary archive with sealed confession chambers|a martyr crypt whose processional ways were trapped later|a furnace chapel built around an unquiet burial vault|a bone house where disputed miracles were once weighed|a shuttered shrine whose keepers never left|a funeral stair beneath a ruined cloister|a candle court built over a robbed saint's grave
reliquary,public_place,the underchapel|the reliquary halls|the bell crypt|the processional vault|the saint-house|the ash vaults
reliquary,public_motif,ash|bells|saints|cinders|relics|choirs|incense|funeral bronze
reliquary,patron_role,bell-keeper|grave-tender|disgraced prior|relic broker|chapel widow|shrine factor|mourning steward|processional marshal
reliquary,reward,good silver and church silence|a relic's worth in hard coin|absolution and a purse besides|enough silver to forget the smell of incense|a locked chest from the vestry cellar|quiet burial for someone you owe
reliquary,faction_prefix,Gutter|Ash|Mould|Grave|Ratling|Lantern|Processional|Censer|Choir|Coffin
reliquary,faction_want,lamp oil and a clean escape route|bones silver and anything not nailed down|the rekindling of an old saint-fire|control of the upper processional ways|confession ledgers and blackmail material|the relic room keys|quiet places to bury their own|the right to ring the bells again
reliquary,solo_adj,Blind|Wax|Soot-Black|Hollow|Pale|Reliquary|Bell-Marked|Cinder-Clad
reliquary,solo_noun,Hound|Knight|Widow|Lector|Custodian|Watcher|Verger|Pilgrim
reliquary,solo_hunt,tracks sound through the galleries|waits above thresholds for torchlight|moves only when the bells answer|follows incense and blood|never strays far from the upper walk|appears where the chants go wrong
reliquary,treasure_adj,silver|gilded|saint-bone|ember-cut|ivory|sable|funerary|lacquered
reliquary,treasure_noun,censer|seal-ring|prayer chain|icon panel|reliquary shard|ledger case|votive coffer|mask
reliquary,rescue_target,novice bell-keeper|wounded relic runner|missing cantor|grave-tender's child|last honest priest|torchbearer trapped past the locks|choir girl hidden below the stalls|confessor who knows the old passages
reliquary,recruit_target,desperate guides from the lower crypts|a splinter sect that wants its abbot dead|grave thieves who know the side doors|a bell-ringer who can wake or still the shrine
reliquary,treasure_objective,strip a side chapel before the cult notices|recover one sacred object before rival hands close over it|loot the hidden offering store|leave with enough relic metal to matter
caverns,site_first,Drowned|Moss|Blackwater|Moonless|Hollow|Pale|Drip|Sunless|Flooded|Shiver
caverns,site_second,Caverns|Sink|Grotto|Deep|Pools|Warrens|Shelves|Maw|Tunnels|Underway
caverns,subtheme,a smugglers' cave system flooded after an old cave-in|a fungus grotto fed by warm mineral vents|a drowned ferry route beneath a sinkhole|a cave shrine swallowed by black water over generations|a pearl cavern contested by scavengers and cave folk|a ropeway network above deep predator pools|a mineral tunnel abandoned after the water rose|an under-river shelf where contraband once changed hands|a blackwater breach below a collapsed customs house|a drift cave with one dry road and many wet deaths
caverns,public_place,the flooded underways|the drowned caves|the blackwater shelves|the sink tunnels|the underpool roads|the drip galleries
caverns,public_motif,blackwater|sinkstone|pearls|ropes|echoes|fungus|silt|drip
caverns,patron_role,river factor|smuggler widow|rope-master|ferryman|pearl buyer|dock priest|cave broker|barge clerk
caverns,reward,river silver and a dry bed|contraband coin with no questions asked|a pearl-cut share of the take|more money than honest ferry work pays in a season|safe passage on the night tide|a sealed crate from the customs fires
caverns,faction_prefix,Fungus|Tide|Mud|Drip|Pearl|Rope|Slate|Eel|Mire|Flood
caverns,faction_want,dry ropeways and hidden caches|warm pools and easy prey|spore beds and captives to feed them|control of the upper ledges|the cave pearls and the divers who find them|the last dry shelf worth sleeping on|the old ferry chains|every scrap of smuggled trade left behind
caverns,solo_adj,Blind|Hook-Toothed|Pale|Shellback|Silt|Flood|Warm-Pool|Deepwater
caverns,solo_noun,Eel|Salamander|Hydra|Maw|Watcher|Crawler|Thing|Leaper
caverns,solo_hunt,follows ripples in the dark water|lurks where the ledges narrow|owns the warmest pools and returns to them|drags prey sideways into flooded cracks|waits beneath old rope crossings|hunts anything carrying fresh light
caverns,treasure_adj,black pearl|waterproof|smugglers'|bronze|seal-scribed|lamproof|salt-cured|oilskin
caverns,treasure_noun,ledger|idol|case|mask|cask|charm|string|cache-box
caverns,rescue_target,lost pearl diver|ferryman's daughter|smuggler scout who knows a dry route out|herbalist taken for the fungus pens|delver pinned beyond the floodgate|guide stranded on the upper ledges|customs runner hidden after a bad handoff|injured netter trapped above the sink
caverns,recruit_target,ropeway guides with grudges to settle|smugglers who know the dry shelves|cave folk willing to sell a shortcut|ferry hands who want the deep thing fed to someone else
caverns,treasure_objective,hit the smugglers' cache before the locals move it|come back with pearls contraband or something worth drying out|claim a dry stash no one else can reach|bring back proof of a deep trade route
dwarven,site_first,Iron|Granite|Ember|Rune|Deep|Hammer|Slate|Chain|Kings|Basalt
dwarven,site_second,Works|Hall|Vault|Foundry|Delve|Archive|Mint|Sluice|Lift|Underforge
dwarven,subtheme,a dead mint and payroll vault beneath the old works|a foundry district shut during a mutiny|a survey complex guarding unfinished deep tunnels|a lift-and-sluice network built to feed a royal forge|a machine hall where the last overseers sealed themselves in|a ruin of chain lifts ore stores and grudge shrines|a charter vault broken open during a strike|a haul road buried by its own counterweights|a royal annex abandoned after the fire-storm|a sealed tool quarter beneath a broken ore yard
dwarven,public_place,the dead works|the chain halls|the old foundry|the underforge|the locked delves|the mint road
dwarven,public_motif,iron|granite|chains|gears|runes|slag|steam|ore
dwarven,patron_role,paymaster's clerk|claim-jumper|forge widow|charter-holder|surveyor|ore broker|lamp inspector|mint runner
dwarven,reward,mint silver and first claim on salvage|a ledger-backed payout|tool steel coin and a written share|enough stamped coin to finance the next descent|clear title to whatever you carry out|a place on the next chartered run
dwarven,faction_prefix,Hammer|Cinder|Rope|Tunnel|Boiler|Charter|Ledger|Grudge|Chain|Pick
dwarven,faction_want,scrap iron and somewhere defensible to squat|ancestral locks and proof the halls are still theirs|the pay chests and the lifts that reach them|control of the haul roads|old ledgers that settle living grudges|boiler rooms and warm sleeping stone|the mint dies and their secrets|every masterwork tool left unclaimed
dwarven,solo_adj,Clockwork|Chain|Coal|Grudge|Bronze|Slag|Forge|Rivet
dwarven,solo_noun,Warden|Ogre|Wyrm|Sentinel|Brute|Custodian|Keeper|Hound
dwarven,solo_hunt,keeps to the old rounds no matter who stands there now|hunts by clangor and fleeing footsteps|returns again and again to the warm ducts|waits where lift shafts narrow the way|smells hot iron and torch smoke|breaks doors only after listening at them
dwarven,treasure_adj,engraved|rune-cut|temper-steel|chartered|minted|black-iron|survey|kingsmark
dwarven,treasure_noun,coffer|die|chisel set|claim ledger|seal rod|blade blank|tool chest|wage box
dwarven,rescue_target,trapped surveyor|last lift-keeper|paymaster's heir|chain-runner pinned behind a jammed gate|prospector trapped near the slag runs|wounded breaker with the only working map|lamp boy hiding in the counterweight crawl|maintenance smith sealed beyond the valves
dwarven,recruit_target,holdouts who still honor the old claims|trap-smiths who can read the machinery|salvage crews eager for a share|lift hands who only need someone else to open the road
dwarven,treasure_objective,crack the pay chest and leave before the works wake fully|recover masterwork tools and sell them above|find the claim ledgers before a rival crew does|drag out enough metal to finance the next descent
demonic,site_first,Crimson|Blasphemous|Horned|Infernal|Bleak|Hex|Mourning|Scarlet|Bonewax|Night-Lit
demonic,site_second,Catacombs|Pits|Shrine|Crypt|Sepulchre|Vault|Underchurch|Choir|Nave|Ossuary
demonic,subtheme,a penitential crypt converted into a sacrificial maze|a funeral underchurch where heretics hid their rites|a chained ossuary built to hold something worse below|a plague catacomb rededicated to infernal vows|a burial shrine twisted into a tallow-smoke cult site|a sepulchre whose lower chambers were carved for offerings not burials|a chapel court where the dead were taught to sing|an execution crypt broken open by desperate believers|a bone archive kept as a ledger of sins|a hidden nave below a house of mourning
demonic,public_place,the red crypt|the chained underchurch|the black catacombs|the lower shrine|the bone nave|the ash-lit pits
demonic,public_motif,horns|blood|chains|coffins|wax|altars|knives|tallow
demonic,patron_role,mourner|ink-stained confessor|grave broker|escaped novice|funeral agent|heretic hunter|bier master|debt priest
demonic,reward,quiet coin and a sealed confession|grave silver and no further questions|enough pay to make blasphemy feel practical|a purse heavy enough to outweigh good judgment|absolution written by a crooked hand|a favor from people you should not owe
demonic,faction_prefix,Red|Bone|Tallow|Grave|Chain|Coffin|Scarlet|Ash-Wax|Lash|Votive
demonic,faction_want,fresh victims and lit altars|skulls marrow and quiet chambers|candles rendered fat and safe exits|forbidden books and surviving kin|the lower ritual keys|the right to finish the rite|blackmail ledgers from the confessional pits|someone else to feed to what waits below
demonic,solo_adj,Maw|Chain|Candle|Skin|Ash-Wax|Hooked|Bloodless|Horned
demonic,solo_noun,Saint|Devil|Ghoul|Bishop|Butcher|Gaoler|Widow|Apostate
demonic,solo_hunt,steals light before flesh|speaks softly before it tears|drags its chains through the side aisles|waits among the confessionals|returns whenever blood touches the stones|knows every hidden door in the nave
demonic,treasure_adj,obsidian|blood ruby|funerary gold|forbidden|tallow-sealed|grave-silver|sigiled|mourning
demonic,treasure_noun,rosary|idol|mask|book|satchel|phial|coffer|knife
demonic,rescue_target,condemned novice|mourner taken below for the next rite|grave-robber chained in the nave|heretic archivist|last surviving pallbearer|captive whose blood is needed for the seal|choir boy hidden under a bier|widow dragged below for a false miracle
demonic,recruit_target,apostates who want the lower rites broken|thieves who know the back confessionals|frightened novices ready to turn|bone collectors who would betray anyone for a clean exit
demonic,treasure_objective,steal a forbidden object and survive the price of touching it|loot the strongbox hidden under the rites|take the black tithe before the cult spends it|bring back proof of the heresy for reward or leverage
rooted,site_first,Root|Thorn|Green|Moss|Briar|Verdigris|Buried|Spore|Hollow|Worm
rooted,site_second,Warrens|Burrows|Halls|Vault|Sanctum|Underchapel|Den|Grove|Cellars|Maze
rooted,subtheme,an old underchapel half-swallowed by living roots|a collapsed cellar network turned into a green cult den|a burrowed shrine-complex full of spore gardens and rat runs|a forgotten tax vault broken open by roots and vermin|an underground herb store rotted into a fungal nursery|a drowned crypt now fused with briar tunnels and sink pits|a garden crypt fed by runoff from a ruined orchard|a hidden warren chewed through an old pilgrim road|a saint cellar taken by rot and worshipped for it|a root maze grown through a buried poorhouse
rooted,public_place,the root halls|the buried grove|the undergrowth below|the briar vaults|the worm roads|the green crypts
rooted,public_motif,roots|thorns|spores|burrows|green dark|moss|rot|loam
rooted,patron_role,hedge-witch|rat-catcher|herb factor|field widow|moss-cutter|garden sexton|charcoal burner|ditch reeve
rooted,reward,herb silver and safe shelter|a cut of the resale and fresh bandages|coin poultices and a place by the stove|enough money to make the spores worth breathing|rights to whatever can be cultivated above|a winter's worth of medicine
rooted,faction_prefix,Root|Burrow|Mushroom|Thorn|Spore|Worm|Moss|Drain|Briar|Rot
rooted,faction_want,seeds blood and a new season of growth|dry bedding and stolen food|spore chambers and bodies for mulch|safe routes through the green dark|the old shrine wells|worm tunnels and what lies beneath them|the tax vault silver|a place to rot in peace without interruption
rooted,solo_adj,Root|Moss|Thorn|Spore|Blind|Worm-Ridden|Briar|Loam
rooted,solo_noun,Stag|Bear|Mother|Hound|Crawler|Warden|Harrower|Thing
rooted,solo_hunt,charges by scent and vibration|moves through living walls as if they were cloth|leaves coughing fits where it passes|returns to the same feeding hollow every dusk|listens at the burrow mouths|follows fresh cuts in the roots
rooted,treasure_adj,amber|sealed herb|silver|moss-hidden|jade|glow-spore|root-carved|green-gold
rooted,treasure_noun,necklace|chest|knife|tax box|idol eye|spore sack|tablet|cache
rooted,rescue_target,missing mushroom gatherer|child stolen by burrow goblins|hedge-witch wrapped into a living wall|hunter cocooned in roots|rat-catcher who vanished below the old porch|pilgrim trapped beyond the briar gate|orchard keeper sealed in the dry cellar|young thief lost in the worm roads
rooted,recruit_target,burrow goblins who know the worm tunnels|thorn hunters who can track the big thing|mushroom keepers willing to trade spores for steel|a root cult defector carrying the planting chants
rooted,treasure_objective,cut loose a hidden cache before the roots reclaim it|bring back spores herbs and old silver for a good payout|rob the shrine stores before the green things wake|salvage what the burrows have not yet chewed apart
frost,site_first,Frost|Winter|Pale|Icebound|Rime|White|Hoarfrost|Grave-Snow|Northwind|Cold
frost,site_second,Tomb|Vault|Crypt|Barrow|Sepulchre|Hold|Hall|Road|Shrine|Court
frost,subtheme,a royal barrow line sealed after a bad winter rite|a glacier-cut crypt full of burial goods and old feuds|a tomb-complex where mourners froze in place around the dead|a snowbound hold used for both burial and last defense|a kingsilver vault trapped beneath ice-choked passages|a funerary shrine where the dead were meant to sleep through the thaw|a cold chapel sealed under avalanche stone|an oath crypt broken open by desperate exiles|a prince's burial road turned into a white maze|a holdfast cellar where the last dead were stacked in the ice
frost,public_place,the frozen crypts|the white barrows|the ice halls|the cold sepulchres|the winter vaults|the rime roads
frost,public_motif,rime|ice|barrows|white breath|grave snow|frozen bronze|cedar smoke|burial frost
frost,patron_role,fur factor|grave claimant|thaw priest|barrow widow|snow guide|cold-market broker|caravan reeve|winter clerk
frost,reward,a fur-lined purse and a fire to come back to|grave silver and first pick of the salvage|warm rooms food and a written share|enough coin to buy through the thaw|safe passage with the next caravan|rights to one recovered heirloom
frost,faction_prefix,Tomb|Rime|Fur-Clad|Ghoul|Ice|Barrow|White|Cairn|Thaw|Northwind
frost,faction_want,burial goods dry fire and a way back out|preserved dead and the old rites|warm rooms and iron worth melting|the lower crypt meat stores|the oath tablets from the deeper halls|the one route that does not freeze shut|a noble tomb no one else has cracked|the thaw-wards hidden in the chapel vault
frost,solo_adj,Ice|Rime|Snow-Blind|Pale|Cold|White|Hoarfrost|Grave
frost,solo_noun,Wight|Wolf|Ogre|Bride|Hunter|Marshal|Widow|King
frost,solo_hunt,circles until someone slips|hunts warmth and open breath|smashes by sound in the dark|waits in the burial winds where torches gutter|returns to the same frozen hall|follows the smell of thawed blood
frost,treasure_adj,kingsilver|sealed amber|fur-lined|ice-clear|runed antler|grave-gold|frost-cut|white bronze
frost,treasure_noun,torque|urn|cloak|gem|bow|ring|tablet|coffer
frost,rescue_target,snow-blind scout|mourner sealed in the cold chapel|trapped tomb robber|missing exile child|heir to an old burial claim|porter frozen behind the funerary lock|winter messenger hiding in a burial niche|grave-tender who knows the warm route out
frost,recruit_target,tomb robbers who only want a clean way out|fur-clad exiles who can hold a warm room|a thaw-priest who knows the old rites|ghoul kin ready to betray the acolytes for fresh meat elsewhere
frost,treasure_objective,lift burial goods without freezing to death in the process|recover kingsilver and get back to warmth|strip one noble tomb before the dead notice|claim the grave cache the robbers could not reach
*,title_artifact_heist,The Wages of Darkness|A Grab in the Graveyard|The Door Prize|Lift the Hidden Goods|Understone Caper|The Last Clean Theft|The Night Crew Below|Take the Shrine's Due|The Long Reach Underground|The Quietest Robbery|The Take Beneath the Floor|Steal It Before Dawn
*,title_artifact_recover,Bring Back the Due|The Lost Thing Below|Recover the Missing Hall|The Debt That Was Buried|Take Back the Hidden Goods|What the Ground Refused to Keep|The Road Home with the Relic|The Thing Owed to Daylight|The Long Return Under Stone|Back with What Matters|The Recovery Below|Fetch the Missing Prize
*,title_rescue,One More Out Alive|Take Them Back to Daylight|The Lost Voice Below|Rescue Under Stone|Bring Out the Living|Not Another Body for the Dark|The Climb Back with One More|The One Still Missing|Drag Them Out Breathing|The Hard Return|Someone Still Down There|The Last Trip Up
*,title_survey,The Map Worth Keeping|A Passage for the Next Fools|Chart the Bad Ground|A Line Through Darkness|The Survey Below|Where the Road Broke|The Safe Way Under Stone|A Route Back Out|Mark the Dry Way|Through-Road in the Dark|The Map Home|A Measured Way Below
*,title_broker,The Deal in the Dark|Terms Beneath the Floor|Safe Passage for a Price|The Lantern and the Bargain|Parley Below Stone|When Enemies Need a Guide|The Cost of Neutral Ground|Buy Peace Underground|A Truce in Bad Ground|The Middleman's Descent|Trade Terms at the Bottom|A Bargain No One Likes
*,title_recruit,The Ally Worth Having|One More Knife on Your Side|Find the Guide Below|Hire the Dark|The Hand You Need Underground|The Companion in Bad Ground|A Local with Reasons|Win a Friend Under Stone|The Help Hidden Below|Find the One Who Knows the Way|The Knife Bought Honest|The Extra Pair of Hands
*,title_faction_play,Use the Split Below|Rivals Under Stone|War Between the Doors|Play the Camps Off Each Other|The Quarrel in the Dark|A Door Between Enemies|The Underway Between Blades|Two Camps One Prize|The Feud Worth Using|Turn Their War into a Road|The Camp Divide|Profit from Bad Blood
*,title_faction_recruit,Choose Your Side Below|The Ally Among Enemies|One Camp for Hire|The Camp That Lets You Live|Back One Side and Run|A Banner in the Dark|Win the Better Enemy|The Pact Below Stone|Choose Which Knife Guards You|The Side Worth Backing|The Friend Among Rivals|A Camp Bought Dear
*,title_npc_contact,The One Who Knows the Road|A Witness in Bad Ground|The Last Mouth Left Open|The Survivor Under Stone|Find the Hidden Witness|The Secret on One Tongue|One Guide Still Breathing|Hear the Last Truth|The Keeper of the Way Below|The Voice in the Underway|A Living Map in the Dark|The Last Useful Liar
*,title_puzzle_route,The Working Door|The Way Hidden in the Walls|The Route No Lock Admits|Solve the Old Mechanism|The Door Behind the Door|The Path the Builders Kept|The Last Good Device|Open the Buried Road|The Lock in the Floorplan|The Shape of the Passage|The Engine Beneath Stone|The Door the Dead Forgot
*,title_trap_cross,Across the Killing Room|Past the Bad Floor|The Door Beyond the Teeth|The Last Safe Crossing|Through the Murder Hall|Crossing What Was Built to Kill|The Room with No Mercy|The Price of One More Step|The Crossing That Hates You|Pass the Trap Alive|Under the Falling House|The Hall That Chooses Victims
*,title_hunt_solo,Track the Thing Below|The Beast on the Old Road|Signs of the Hunter|Where the Teeth Wait|The Shape Behind the Lantern|Hunt Beneath the Floors|The Stalker Under Stone|The Creature in the Side Passages|Find the Hunter's Path|What Moves Before You Hear It|The Beast Below the Lantern|Read the Tracks in Darkness
*,title_bait_solo,Call It Out Below|The Lure in the Dark|Draw Blood from the Hunter|Set the Trap Beneath Stone|The Beast and the Bait|Make It Come to You|Call the Stalker Close|The Lantern Trap|The Teeth You Summon|Set a Snare for the Dark|Bring the Hunter to Heel|The Waiting Trap Below
*,title_stop_rite,Before the Last Word Is Spoken|Break the Work Below|Stop the Night Service|The Rite Before Dawn|Cut the Prayer Short|Before the Shrine Opens Its Mouth|End the Work Under Stone|Break the Chapel's Intention|Before the Last Candle Falls|Stop the Thing They Started|The Last Service Underground|Before the Work Finds a Voice
*,title_end_boss,The Last Master Below|What Sits on the Inner Seat|Down to the Ruler|Bring Down the Thing Below|The One on the Last Throne|Beneath the Final Master|The Underlord's Hall|The Last Seat in the Dark|Break the Rule Under Stone|The Chamber of the Master|The Ruler Below All Doors|The One Who Owns the Depths
*,title_kill_boss,Kill What Rules Below|The Last Enemy Under Stone|Strike the Master Down|The Deepest Kill|Blood on the Inner Seat|The Heart of the Underplace|Finish the Thing Below|Take the Last Chamber|The Boss Beneath the Floor|The Last Kill Below|Down to the Last Enemy|Murder Under the Throne
*,title_race_key,Beat Them to the Gate|Open It First|The Race to the Inner Door|First Hands on the Lock|The Last Sprint Below|The Door Before the Others|The Key Run Underground|The Opened Way Goes to One|Hurry to the Hidden Gate|The First Through Claims It|The Lock Opens Once|Reach the Door Ahead of Them
*,title_secure_key,Find the Thing That Opens It|The Lock's Answer|Get the Road Key|What Opens the Underway|The Door's Missing Half|Open the Buried Gate|The Key to Bad Ground|Unlock the Last Road|The Opened Door Below|Bring Back the Key of It|The Key Hidden in the Walls|Find the Shape of the Lock
*,title_treasure,Take the Richest Thing|Silver in the Dark|The Prize Under the Floor|What Wealth the Dead Forgot|Carry It Out if You Can|The Best Loot Below|Gold for the Taking Underground|The Cache in Bad Ground|The Rich Room Below|Take the Hidden Silver|The Haul Worth Dying For|What the Dark Still Owes
reliquary,public_place,the sepulchre stairs|the saint markets below|the coffin roads|the vestry undercroft|the buried choir|the shrine cellars|the lamp vaults|the lower processional
reliquary,public_motif,shrine silver|grave cloth|lamplight|dusty scripture|hollow bells|saint oil|cold incense|tomb iron
reliquary,patron_role,grave factor|parish widow|funeral clerk|lamp porter|saint-broker|relic widow|mourning aunt|bell house keeper
reliquary,reward,vestry coin and a writ of pardon|private sale of whatever cannot be blessed|a warm room behind chapel walls|a ledger cleared in your favor|enough silver to leave the parish for good|a saint-token worth more than it should be|quiet burial for a dangerous body|first claim on anything not nailed into stone
reliquary,rescue_target,choir master trapped below the lower nave|vestry runner missing beyond the coffin stairs|mourner's son hidden in the saint-house|relic porter sealed behind the bell crypt|widow taken into the underchapel by false clergy|altar child last seen carrying the wrong key|grave clerk who knows whose bones were moved|ringer trapped with the bells above the dark
reliquary,recruit_target,chapel porters who know the coffin roads|vestry thieves who want a bigger enemy dead|mourning guards stranded past the inner screens|a bell-house survivor who can still open shrine doors|grave carriers who know which walls are hollow|an underdeacon with one honest map|candle smugglers willing to trade routes for silence|a relic clerk who hates the current keepers
reliquary,treasure_objective,strip the vestry stores before dawn reaches the bells|take one saint-market cache and leave the rest to argument|rob the lower choir of anything portable and holy|leave with enough shrine metal to start over elsewhere|carry out a ledger that someone above fears|take what the mourners hid from the priests|lift the best object in the undercroft and vanish|clean out a chapel road cache before anyone hears the hooks
reliquary,atmosphere,old brass gone cold in the dark|wet ash clinging to every threshold|dusty prayer air and lamp smoke|grave dust glittering in weak lantern light|stone cold enough to silence a whisper|myrrh gone sour in sealed rooms|the smell of damp vestments and old wax|a hush broken only by chain and drip
reliquary,content,bell ropes cut and tied off short|censer chains hung on wall pegs|broken icons stacked behind a screen|ledger scraps under a cracked stool|offering bowls green with age|coffin nails in sorted little piles|a saint niche stuffed with stolen cloth|worn prayer strips tied around iron hooks
caverns,public_place,the flood cuts|the under-river roads|the drowned ledges|the hollow waterway|the chalk channels|the lower ferries|the black runs|the deep shelves
caverns,public_motif,wet rope|cave chalk|dark pools|brackish wind|shell scraps|lantern reflections|mud slick|water thunder
caverns,patron_role,shell buyer|dock widow|eel trapper|river toll collector|storm ferryman|night porter|net widow|mud broker
caverns,reward,coin enough to buy a berth and vanish|river scrip no questions asked|a dry bunk and silver on top|first pick from anything brought up whole|ferry passage for you and one more|customs money that never entered a ledger|a sealed crate from the night boats|enough shell-silver to matter upstream
caverns,rescue_target,rope runner stranded past the lower ledges|night ferryman trapped above the flooded cut|child courier hiding on a dry shelf|diver who saw the wrong exchange below|lamp boy marooned beyond the black water|netter pinned in the old pulley way|smuggler's sister left under the customs breach|wounded oarsman trapped behind a stuck gate
caverns,recruit_target,night boat hands who know a dry shelf no map marks|silt runners willing to sell a crossing|old ferrymen who want the deep chamber emptied|a smuggler crew split by fear and greed|chalk-mark guides who can read the water level|cave netters who know the ladders nobody trusts|a mud-broker's scouts hiding above the ledges|the last rope crew still willing to work below
caverns,treasure_objective,pull a blackwater cache before the ledges fail|take the best contraband still dry and run|strip one shelf of goods before the cave folk circle back|come up with something that justifies the wet and the risk|rob the lower ferries blind in one hard push|carry out a lockbox no one admits exists|loot the drowned road before the tide takes it again|take one perfect prize and leave the rest to sink
caverns,atmosphere,water hammer under distant stone|the smell of wet lime and old tar|cave air cold enough to sting the teeth|dripping mineral threads in torchlight|slippery rock sweating under every hand|a low roar from water moving where you cannot see|stale flood smell trapped in side pockets|cold mist crawling along the floor
caverns,content,a skiff smashed long ago against the wall|wet chalk marks above head height|rope coils gone green with damp|fish traps left to rot in a side cut|shallow bootprints ending at black water|lamp hooks hammered into good climbing stone|shell piles broken for food and bait|a narrow ledge scarred by dragged cargo
dwarven,public_place,the lower foundries|the mint roads|the chain vaults|the survey halls|the old works below|the furnace galleries|the underforge stair|the sealed liftways
dwarven,public_motif,forge smoke|cut granite|cold iron|dead machinery|slag dust|chain weight|mint brass|boiler heat
dwarven,patron_role,claim widow|mint porter|boiler clerk|ore tallyman|gearwright's heir|haul widow|chain broker|smelter's nephew
dwarven,reward,stamped silver and a proper receipt|first salvage rights on what can be hauled|a written share enforceable above ground|forge coin and room by a paid fire|enough wages to fund another expedition|mint scrip clean enough to spend openly|chain-house silver and a warm bunk|tool steel and cash together
dwarven,rescue_target,liftman trapped below the brake floor|ledger boy sealed in the mint culvert|haul widow's son hiding in the survey rooms|wounded forge hand beyond the lower valves|lamp scribe trapped behind the chain gate|ore runner cut off in the old workings|wage clerk left under the sluice stairs|apprentice mason hiding where the gears stopped
dwarven,recruit_target,disgraced surveyors who know an unmarked route|chain gangs ready to turn on their paymaster|boiler hands hiding in the service ducts|ore haulers willing to trade maps for a way out|mint porters with grudges and the right keys|lamp inspectors who know which lifts are honest|forge widows who still control the ration rooms|haul crews stranded below a dead brake line
dwarven,treasure_objective,haul out stamped silver before the rivals find the tally|strip one sealed tool room and get clear|take the best salvage in one disciplined pass|recover the payroll cache and leave the rest buried|rob the mint culvert before anyone reclaims it|carry out enough brass and steel to change your prospects|loot the chain vault and vanish before the alarms|bring back proof the lower works are worth reopening
dwarven,atmosphere,old copper heat caught in dead pipes|the smell of wet stone and quenched iron|coal grit drifting when no one has worked here for years|stamped metal tang in the back of the throat|machine echoes carried too far by straight halls|stone chill under every handrail|grease, rust, and old authority|boiler damp clinging to the lower arches
dwarven,content,a lift bell with its pull chain cut|survey pegs hammered in precise lines|slag drifts banked against one wall|ore sacks burst and long since gone sour|rune plates cracked under old impacts|spent lamps lined up on a numbered shelf|a brake lever locked in place with wire|ledger tags tied to empty hooks
demonic,public_place,the red stairs|the mourning pits|the underchoir|the candle cells|the blood chapels|the lower biers|the funeral pit|the wrong crypts
demonic,public_motif,blood wax|red smoke|hooked iron|grave silk|candle soot|ritual knives|black prayer|coffin lacquer
demonic,patron_role,undertaker's wife|wake-broker|sin seller|chapel debtor|grave aunt|mourning clerk|bier captain|death notary
